Temperature,E,Esquared,C1,C2,C3,Cv
1.85,-4.34364,20.524,1.57207,1.58498,1.18659,0.484091
1.86,-4.34066,20.686,1.58521,1.56731,1.18814,0.533208
1.87,-4.26924,19.9253,1.50996,1.5861,1.17318,0.485837
1.88,-4.26371,19.8284,1.54068,1.52425,1.19879,0.466605
1.89,-4.30036,20.1325,1.59086,1.53395,1.17555,0.458951
1.9,-4.32846,20.5541,1.5806,1.5697,1.17816,0.503733
1.91,-4.2944,20.1807,1.56868,1.53595,1.18978,0.476633
1.92,-4.27902,19.948,1.53527,1.55234,1.19141,0.444328
1.93,-4.28901,20.0463,1.5412,1.57218,1.17564,0.443149
1.94,-4.27867,20.071,1.54398,1.54571,1.18899,0.468691
1.95,-4.27785,19.9615,1.51145,1.54565,1.22075,0.436956
1.96,-4.26136,19.6955,1.51485,1.55119,1.19532,0.399906
1.97,-4.22055,19.4361,1.47874,1.54151,1.2003,0.41821
1.98,-4.18979,19.1063,1.47666,1.51422,1.1989,0.39587
1.99,-4.1934,19.0772,1.51511,1.47713,1.20116,0.376902
2,-4.25201,19.6526,1.47285,1.57836,1.2008,0.393238
