Temperature,E,Esquared,C1,C2,C3,Cv
1.86,-4.34066,20.686,0.0792605,0.0783655,0.059407,0.533208
1.87,-4.26924,19.9253,0.075498,0.079305,0.058658999999999996,0.485837
1.88,-4.26371,19.8284,0.077034,0.0762125,0.0599395,0.466605
1.89,-4.30036,20.1325,0.079543,0.0766975,0.0587775,0.458951
1.9,-4.32846,20.5541,0.07903,0.078485,0.058908,0.503733
1.91,-4.2944,20.1807,0.078434,0.07679749999999999,0.059489,0.476633
1.92,-4.27902,19.948,0.0767635,0.077617,0.059570500000000005,0.444328
1.93,-4.28901,20.0463,0.07705999999999999,0.078609,0.058782,0.443149
1.94,-4.27867,20.071,0.07719899999999999,0.0772855,0.0594495,0.468691
1.95,-4.27785,19.9615,0.0755725,0.0772825,0.0610375,0.436956
1.96,-4.26136,19.6955,0.0757425,0.0775595,0.059766,0.399906
1.97,-4.22055,19.4361,0.073937,0.07707549999999999,0.060015,0.41821
1.98,-4.18979,19.1063,0.07383300000000001,0.075711,0.059945000000000005,0.39587
1.99,-4.1934,19.0772,0.0757555,0.0738565,0.060058,0.376902
2.0,-4.25201,19.6526,0.0736425,0.078918,0.06004,0.393238
